# step h OmegaM OmegaL chi2
3097 0.70641820 0.44959869 1.04605835 572.33507973
3098 0.70360514 0.45067604 1.01349989 571.50668640
3099 0.70477636 0.47188213 0.98130012 571.43406710
3100 0.70115898 0.46567814 0.99216173 572.24380589
3101 0.71032657 0.42249115 1.02768544 570.44356285
3102 0.70830155 0.39873771 1.00184361 569.96434652
3103 0.71014748 0.38712473 0.98927510 569.35827789
3104 0.70630363 0.39910886 0.94477865 566.17706249
3105 0.70692900 0.38791900 0.92409519 565.84594763
3106 0.71001599 0.38050989 0.92540597 568.44024982
3107 0.71124502 0.33988775 0.92758836 569.11546517
3108 0.70265268 0.37118059 0.93420275 570.08834428
3109 0.70809590 0.40000018 0.92448961 567.90302512
3110 0.70448860 0.37653356 0.94387356 568.22130502
3111 0.71101249 0.37792523 0.96582793 568.88785209
3112 0.70872322 0.36828251 0.98122452 571.02059296
3113 0.71353621 0.37084835 0.96469090 571.77760457
3114 0.70761893 0.35725551 0.93236928 566.99903623
3115 0.70403828 0.35321091 0.92871559 570.10412288
3116 0.69953570 0.37243782 0.87612219 566.93383205
3117 0.69977108 0.35453427 0.86960183 567.49395931
3118 0.70543029 0.37473967 0.84406182 567.72149880
3119 0.70516240 0.36176617 0.82560319 567.23887788
3120 0.70273430 0.36352536 0.81343631 565.62828603
3121 0.70474646 0.34032840 0.82289436 564.26478299
3122 0.70781496 0.32350212 0.81168424 567.81226082
3123 0.70212535 0.28744276 0.80667938 565.46072462
3124 0.70053322 0.34232606 0.79810077 563.24095569
3125 0.69931537 0.33063645 0.76785156 563.22072426
3126 0.70127627 0.30735329 0.77192547 562.40162427
3127 0.69958969 0.29533064 0.77417052 563.71981170
3128 0.69553388 0.33224390 0.76591967 565.82475113
3129 0.70045756 0.32733173 0.78510737 562.77552997
3130 0.70081565 0.29919678 0.74437339 562.48245637
3131 0.70567733 0.27934692 0.73425134 566.90174772
3132 0.70226035 0.29945179 0.72220603 565.24837147
3133 0.69888536 0.28700489 0.73796721 562.66506303
3134 0.69650412 0.27960429 0.74394827 566.61110743
3135 0.69730195 0.29513062 0.74020426 563.66816481
3136 0.69869488 0.27757190 0.75206825 564.51032432
3137 0.70106221 0.27765189 0.75215081 562.70418203
3138 0.70272521 0.25033357 0.75158332 564.58745223
3139 0.70188557 0.23803970 0.74378954 566.15969412
3140 0.70715761 0.22543882 0.71153208 568.06235468
3141 0.70581401 0.19998398 0.67304141 567.85734452
3142 0.70082812 0.22759058 0.66788657 563.06790754
3143 0.70136453 0.24273419 0.65743829 564.30825461
3144 0.69843270 0.24155767 0.65819120 562.54396083
3145 0.69648147 0.23625637 0.66323049 563.86827379
3146 0.69661917 0.27079746 0.63972361 564.48138442
3147 0.69588503 0.26152472 0.66490453 563.22771688
3148 0.69975906 0.26776553 0.68099564 563.03351194
3149 0.69544336 0.26993951 0.69898583 564.80486079
3150 0.69659321 0.27787320 0.71648532 564.00621474
3151 0.70833385 0.26500432 0.75609714 568.54329926
3152 0.70335168 0.27515712 0.76069395 563.01733513
3153 0.69713509 0.27860402 0.76179003 568.10991755
3154 0.70092334 0.25631711 0.77023762 567.36560532
3155 0.70371173 0.24230216 0.77124665 567.47675545
3156 0.70703627 0.27090327 0.73390156 568.68086603
3157 0.70266577 0.28127505 0.71146276 564.68338584
3158 0.70455928 0.24834739 0.74043601 564.33130026
3159 0.70525577 0.24620040 0.73844462 564.85813755
3160 0.69972712 0.24861545 0.73923921 565.96819258
3161 0.70585277 0.21528400 0.71135809 566.85788606
3162 0.70223132 0.21931240 0.73150417 567.90124330
3163 0.69771693 0.23806271 0.71768359 567.88722540
3164 0.69890369 0.26842519 0.71504064 562.57524087
3165 0.70506037 0.29691306 0.75142819 566.01850549
3166 0.69947305 0.31852086 0.75214049 562.94644924
3167 0.70277679 0.31482588 0.75931817 564.19294447
3168 0.69985042 0.31981862 0.76674594 562.71557139
3169 0.69542263 0.33055885 0.77795533 566.94237153
3170 0.70155983 0.28879350 0.79243251 564.24877792
3171 0.70160315 0.29863691 0.77460115 562.48607437
3172 0.69927050 0.30112736 0.77942244 563.96291359
3173 0.69998851 0.31578747 0.78852652 563.05173496
3174 0.70533925 0.32002587 0.85069263 564.25537496
3175 0.70409034 0.32604154 0.84021480 563.50531025
3176 0.70531037 0.33929250 0.84618567 563.84802960
3177 0.70551077 0.30895677 0.88048606 568.74692140
3178 0.70684025 0.29475267 0.87633932 569.89774061
3179 0.70770239 0.29692866 0.88170113 569.74532117
3180 0.70413441 0.31732033 0.86064684 565.82113880
3181 0.69967043 0.30768119 0.83592352 570.05839731
3182 0.70226313 0.32261066 0.83257772 563.90344868
3183 0.70109779 0.32879211 0.83682548 564.71422619
3184 0.70840856 0.33519941 0.85671788 566.35051687
3185 0.70891848 0.32390917 0.86271805 566.37898207
3186 0.70449344 0.33960462 0.86794906 564.19038465
3187 0.70569287 0.34803832 0.87807261 564.30861528
3188 0.70711226 0.36758240 0.88452053 565.74580989
3189 0.70290923 0.36545103 0.87430019 564.14316755
3190 0.70593798 0.36887636 0.91611320 565.34259594
3191 0.70043614 0.39376563 0.87326327 565.59932436
3192 0.70290250 0.39681643 0.86154164 566.58822470
3193 0.70133613 0.37967179 0.82355353 565.92336394
3194 0.70146264 0.36004909 0.79313100 565.76886882
3195 0.70462996 0.33422077 0.77538931 567.95252362
3196 0.69995383 0.31549241 0.77666813 562.67993307
3197 0.70171500 0.31255748 0.76247429 562.93087365
3198 0.70138838 0.29891389 0.73346829 563.27564790
3199 0.69583403 0.30174317 0.73191352 564.54467083
3200 0.69806325 0.31702562 0.70297069 565.40890064
3201 0.69541909 0.30066042 0.68307437 564.44963920
3202 0.69438460 0.31220710 0.71364952 565.36790733
3203 0.70355570 0.27044956 0.74740852 563.13254264
3204 0.70456337 0.29747345 0.73482436 567.17811476
3205 0.70548473 0.27359896 0.72285329 567.15976567
3206 0.70534950 0.27335508 0.69179604 571.39845240
3207 0.70114153 0.27219801 0.69084164 563.82131884
3208 0.69665790 0.25054035 0.66908342 563.09550746
3209 0.69804832 0.21873960 0.64342551 563.15104581
3210 0.70065655 0.22274609 0.60545218 566.68990264
3211 0.69176630 0.22634948 0.59257820 566.29903664
3212 0.69319456 0.21285741 0.58029795 564.82393685
3213 0.69430557 0.17068733 0.57079638 566.61459250
3214 0.69180062 0.17595645 0.54410015 567.29699767
3215 0.69548511 0.18752199 0.50988090 567.23839605
3216 0.69790710 0.18201530 0.52799293 567.37374965
3217 0.69786144 0.15250012 0.51280502 566.61966406
3218 0.69346428 0.17821964 0.53371594 565.07199736
3219 0.69917251 0.18137359 0.53729250 568.03877789
3220 0.69978080 0.17276342 0.54089108 567.71669422
3221 0.69785100 0.17324293 0.56045810 564.54267731
3222 0.69760483 0.19074005 0.57426875 564.02671516
3223 0.69724780 0.18321998 0.55943220 564.35360901
3224 0.69441332 0.15707842 0.54448553 566.21105427
3225 0.69599103 0.16412925 0.51624526 565.42491228
3226 0.69742410 0.16687120 0.51801009 566.51676958
3227 0.69219430 0.17631850 0.50352845 565.97635139
3228 0.69770582 0.14725114 0.50610693 566.76119448
3229 0.69584791 0.16065675 0.48782358 567.32469914
3230 0.68897227 0.16926053 0.45905302 568.82341229
3231 0.69278679 0.16177829 0.48035672 566.39795821
3232 0.69244720 0.18406812 0.48414190 567.46870007
3233 0.69123582 0.18468904 0.47483469 568.04721796
3234 0.69201190 0.15851396 0.45952015 567.39597052
3235 0.69371576 0.15458397 0.48270189 566.15810241
3236 0.69576291 0.13616782 0.48612892 566.36356132
3237 0.69724312 0.11911617 0.48536161 567.34934339
3238 0.68997459 0.14117904 0.44876000 568.21011986
3239 0.69343377 0.17477906 0.47158404 568.32950499
3240 0.69582892 0.15879063 0.45554379 571.29368242
3241 0.69496115 0.14496178 0.45472946 568.52892214
3242 0.69298006 0.16124687 0.46369165 567.54250749
3243 0.68916472 0.17169660 0.47042584 568.48884634
3244 0.69041304 0.18907888 0.48037098 568.05232212
3245 0.68968761 0.20658782 0.49587127 568.62005958
3246 0.69087940 0.17651669 0.50557046 566.82285416
3247 0.69341635 0.19032585 0.51529747 565.81880447
3248 0.69382917 0.18132326 0.51836955 565.28178441
3249 0.69586101 0.16650267 0.51542918 565.48064806
3250 0.69742575 0.15136767 0.54764601 565.40776226
3251 0.69816382 0.14924838 0.56438256 566.01220981
3252 0.69994601 0.13719432 0.55444387 567.09130868
3253 0.69571659 0.15315570 0.57198842 567.71673459
3254 0.69909439 0.16707994 0.56688724 565.06026325
3255 0.69687086 0.17275202 0.55755687 564.38199744
3256 0.69534611 0.19620418 0.55358553 564.34606384
3257 0.69504977 0.20831449 0.54987149 565.12057879
3258 0.69524309 0.22928871 0.58875180 564.10633314
3259 0.69265403 0.23610159 0.58164978 565.25785732
3260 0.68762331 0.22762891 0.59512985 575.51879593
3261 0.69862235 0.24070329 0.58245463 569.41784221
3262 0.69164680 0.25996616 0.58096109 567.25883324
3263 0.70033391 0.23198134 0.59812502 568.46744922
3264 0.69715523 0.23539647 0.61763420 563.37223209
3265 0.69748123 0.25249087 0.62817844 564.05577095
3266 0.69721786 0.25008302 0.62101050 564.24399178
3267 0.69528004 0.23153472 0.63476783 563.83971422
3268 0.70053272 0.26084747 0.64056858 567.21407012
3269 0.69580891 0.25716867 0.63721485 563.46056862
3270 0.69447058 0.26595472 0.64349413 564.08889995
3271 0.69263060 0.27986005 0.62705213 566.19889264
3272 0.69204239 0.27226210 0.65096061 566.71058742
3273 0.70256699 0.22293352 0.68006206 563.93685684
3274 0.69836099 0.23489123 0.63258933 563.07954789
3275 0.70480112 0.22510326 0.66099704 567.79380492
3276 0.70545044 0.19887417 0.68169614 567.36206244
3277 0.70395608 0.23284968 0.65550122 567.54852299
3278 0.70161741 0.23561904 0.63063071 566.71648081
3279 0.70316205 0.24174564 0.66749659 565.75238814
3280 0.69696825 0.23420133 0.65209118 563.09017350
3281 0.69614135 0.23173217 0.61498181 563.23370126
3282 0.69088094 0.24601140 0.57808862 566.97127043
3283 0.69802442 0.23287093 0.57041766 568.91669029
3284 0.69603815 0.21523293 0.55596259 565.82522203
3285 0.69457107 0.18072346 0.54409406 564.54480578
3286 0.68988292 0.16958178 0.54085377 571.45782020
3287 0.69591608 0.17037562 0.58111933 565.74099119
3288 0.69791777 0.18435155 0.55776129 564.85760198
3289 0.69199582 0.20213339 0.56403333 566.05290055
3290 0.69780101 0.18333048 0.55633683 564.82217751
3291 0.69512224 0.20944911 0.56180316 564.44827695
3292 0.69505255 0.22451126 0.55567439 566.15856737
3293 0.68775491 0.20793883 0.54860168 572.20084754
3294 0.68953193 0.21735689 0.53373037 568.06146492
3295 0.69506625 0.21226708 0.52961869 567.57253336
3296 0.68945412 0.21259282 0.55245214 568.67303364
3297 0.69081192 0.19412239 0.56444950 568.60957634
3298 0.69119265 0.18771829 0.56551230 568.78329611
3299 0.69738930 0.18107986 0.58767066 564.18995072
3300 0.69704743 0.18072417 0.58403615 564.21276946
3301 0.69760058 0.19817940 0.58405021 563.76774152
3302 0.69718881 0.19335884 0.59441107 563.67390093
3303 0.69381611 0.24422927 0.58469814 565.28611621
3304 0.69322792 0.25340809 0.60802297 564.97287354
3305 0.69324282 0.24226330 0.61861482 564.84763412
3306 0.69228784 0.24857701 0.63682874 566.69470110
3307 0.70049046 0.25805441 0.65382417 565.08742492
3308 0.69661312 0.24226006 0.63797614 562.91692203
3309 0.69709770 0.23702202 0.62994230 562.95158272
3310 0.69576035 0.25467903 0.64029418 563.30032035
3311 0.69457900 0.25960070 0.64012576 563.91636078
3312 0.70035194 0.23423388 0.65023337 563.34850634
3313 0.69889062 0.22119456 0.65936778 563.24998402
3314 0.69712022 0.25596304 0.66685178 562.68919852
3315 0.69465880 0.28782786 0.64198710 565.62100305
3316 0.70151783 0.27720107 0.66678690 567.84666517
3317 0.69519178 0.28574737 0.66648826 564.12053999
3318 0.69272598 0.29812154 0.67640182 566.37900022
3319 0.69551844 0.31084667 0.67835863 565.68917920
3320 0.69578517 0.28430342 0.65944958 564.22354968
3321 0.69450548 0.29230859 0.63338321 566.88669382
3322 0.69433090 0.27258266 0.65036295 564.28392308
3323 0.69936281 0.27458154 0.66520209 564.61029688
3324 0.69966857 0.25414437 0.66675237 562.95747325
3325 0.69872447 0.26400205 0.69217399 562.33141855
3326 0.69558413 0.24103101 0.65916898 564.16168171
3327 0.70362088 0.22430710 0.66433377 565.52991600
3328 0.70176096 0.21400681 0.65068349 564.03063985
3329 0.69928598 0.24639855 0.66198090 562.67753191
3330 0.69638307 0.21580175 0.64562602 564.76254003
3331 0.69747158 0.22040718 0.64121933 563.22278268
3332 0.70253173 0.20287367 0.62802703 565.70180872
3333 0.69660025 0.22224647 0.58562452 564.27350109
3334 0.70032042 0.19522484 0.58641113 565.67665595
3335 0.69706561 0.18234068 0.60049011 564.74651327
3336 0.70125150 0.17681981 0.59600437 565.62290783
3337 0.69792603 0.18370524 0.58034094 564.01689537
3338 0.69543948 0.20932057 0.60611103 563.89385781
3339 0.69742212 0.18990848 0.59765026 563.85543595
3340 0.70311588 0.18609590 0.59635366 568.41720915
3341 0.69864124 0.18092317 0.60008582 564.31641891
3342 0.69225462 0.22617287 0.61224884 566.75412870
3343 0.69058500 0.23141495 0.57952837 567.26779608
3344 0.69191278 0.21400070 0.55931399 565.67934248
3345 0.69200045 0.22078596 0.57560646 565.68012868
3346 0.69571527 0.17252173 0.53885182 564.58634588
3347 0.69104131 0.16140756 0.51046198 567.63449726
3348 0.69624857 0.16103980 0.50802056 565.97008672
3349 0.69487643 0.19198150 0.50019040 568.34602979
3350 0.68943557 0.21213129 0.50604375 568.61523728
3351 0.68808654 0.21676143 0.51546709 569.86760154
3352 0.68878466 0.22616639 0.51239565 569.71258521
3353 0.69468791 0.21577477 0.53806363 566.72175532
3354 0.69641372 0.21929014 0.53296537 569.93700838
3355 0.69486774 0.23286611 0.55498334 567.17116341
3356 0.69691102 0.21369122 0.60695576 563.19647542
3357 0.69401543 0.24545421 0.63460273 564.42326273
3358 0.69698578 0.26784902 0.64688931 563.82105179
3359 0.69975703 0.26192156 0.61869103 569.49141248
3360 0.69545961 0.23598366 0.60103950 563.88590202
3361 0.69502760 0.22790691 0.60512420 563.61172569
3362 0.69680187 0.22102095 0.61320774 563.10477038
3363 0.69579529 0.20742622 0.59823073 563.59265172
3364 0.69649330 0.21863468 0.59210798 563.65530354
3365 0.69297511 0.20250771 0.57419219 565.31472471
3366 0.70067407 0.19984746 0.57748921 567.52701397
3367 0.69668701 0.21590037 0.58852252 563.76945940
3368 0.69389053 0.21024124 0.57773286 564.33210647
3369 0.69617940 0.20912497 0.56820946 564.38985102
3370 0.69468870 0.19802366 0.57257789 564.12843355
3371 0.69665707 0.17808011 0.57137457 564.22121922
3372 0.69586125 0.14491862 0.54859387 566.74918075
3373 0.69756121 0.14355523 0.55933394 566.61293055
3374 0.69699510 0.13832585 0.56734080 568.53467873
3375 0.69565530 0.15172631 0.57924708 568.92743742
3376 0.69781471 0.15446187 0.57385462 565.99611339
3377 0.69964097 0.16587369 0.54177832 566.94272717
3378 0.69662573 0.17042306 0.53667220 564.85728838
3379 0.69676385 0.16574156 0.53765440 564.85290857
3380 0.69609815 0.14930381 0.51618884 565.43630295
3381 0.69194139 0.17208696 0.52222231 566.30953063
3382 0.69081365 0.18037452 0.54376134 568.38194100
3383 0.69055905 0.23206479 0.54758325 567.36665721
3384 0.69385922 0.21602162 0.53922220 566.17477562
3385 0.69386693 0.20207515 0.52681949 565.94645701
3386 0.69195460 0.21210576 0.51416048 567.44384157
3387 0.70406043 0.18065311 0.56145032 575.03645766
3388 0.70080364 0.19257290 0.52344171 575.90103098
3389 0.69272963 0.19059650 0.49740476 567.00067619
3390 0.69660386 0.20058842 0.53263709 567.31801561
3391 0.69329889 0.16876786 0.52802299 565.47927229
3392 0.69434193 0.18115717 0.52566910 564.98985877
3393 0.69259314 0.17899115 0.52786782 565.55602491
3394 0.69606018 0.16022664 0.53294163 564.91819057
3395 0.69796883 0.16910275 0.54101263 565.39941080
3396 0.69722211 0.20128407 0.54001075 567.25089388
3397 0.69248154 0.19328639 0.54117963 565.38687644
3398 0.69296424 0.16746392 0.51818332 565.60326382
3399 0.69905459 0.13893293 0.49460260 569.01299611
3400 0.70085331 0.11602135 0.51646762 569.48950843
3401 0.69711747 0.12666532 0.52046902 566.86519952
3402 0.69823639 0.13649469 0.52489527 566.39680975
3403 0.69580274 0.14723607 0.54089785 566.03326430
3404 0.69987470 0.13336600 0.51178237 568.41414651
3405 0.69876421 0.12911914 0.50692671 567.46791175
3406 0.69710432 0.13247209 0.50299910 566.44331924
3407 0.69297073 0.14131493 0.50059900 566.78714338
3408 0.68580524 0.16124892 0.48039803 575.71222562
3409 0.69594350 0.15716492 0.46532772 569.77335234
3410 0.69539565 0.14450184 0.47831924 566.75948901
3411 0.69390991 0.17115285 0.50930899 565.39763735
3412 0.69790919 0.14656918 0.52637331 565.88982189
3413 0.69829534 0.16311609 0.56367126 564.92811121
3414 0.69721862 0.14544505 0.53168864 565.62392811
3415 0.69411153 0.18198701 0.51404977 565.57216831
3416 0.69468808 0.15779982 0.52723641 565.27472087
3417 0.69804402 0.14396438 0.53875197 565.87153160
3418 0.70102907 0.14991774 0.56366361 567.01487630
3419 0.70071438 0.13946330 0.56688187 567.41979957
3420 0.69545232 0.16539316 0.54628573 564.87008559
3421 0.69740811 0.18391316 0.54951716 564.99946313
3422 0.69472818 0.19805218 0.52916533 565.79291201
3423 0.68810637 0.23888722 0.53423700 570.36247857
3424 0.68938899 0.25549551 0.55399488 569.56347470
3425 0.69078824 0.22123958 0.59375669 568.35039900
3426 0.69728299 0.18355902 0.59652102 564.32286587
3427 0.69762289 0.16725001 0.58662773 565.30441867
3428 0.69565781 0.16208675 0.57525851 566.65898607
3429 0.69925284 0.18211038 0.57671063 564.75924480
3430 0.69660705 0.18628731 0.57019993 563.93822665
3431 0.69299186 0.19173952 0.55824646 565.32811211
3432 0.69059193 0.18337978 0.53885641 568.08121472
3433 0.69591047 0.18832669 0.51745050 566.90103921
3434 0.69101002 0.18783364 0.56834534 569.43150131
3435 0.69494255 0.19108944 0.56078468 564.16558520
3436 0.69666956 0.20547192 0.58326429 563.66016341
3437 0.69836356 0.21690776 0.56200998 568.09530741
3438 0.69434848 0.21221500 0.56045741 564.57232496
3439 0.69229024 0.22713138 0.56237022 565.63601097
3440 0.69613779 0.20892036 0.55899379 565.02608268
3441 0.69494063 0.19534288 0.57002304 564.07230668
3442 0.69362451 0.18103398 0.59281082 568.37972613
3443 0.69616145 0.19069564 0.59041861 564.09015557
3444 0.69824832 0.17950031 0.59865282 564.43678530
3445 0.70017261 0.19517317 0.59183367 565.08585768
3446 0.69814283 0.18463906 0.60664896 564.32241382
3447 0.69859332 0.17474971 0.61671084 565.87111784
3448 0.70008896 0.16461333 0.60489082 565.93250638
3449 0.70021313 0.16834357 0.58498965 565.32686752
3450 0.70405363 0.17770311 0.56367071 574.15688258
3451 0.69430683 0.19547794 0.55347275 564.39305431
3452 0.69337827 0.18097335 0.55150431 565.38245057
3453 0.70117204 0.17407481 0.59228034 565.71361072
3454 0.69891171 0.17858904 0.58632063 564.36077451
3455 0.70052360 0.16230673 0.58634980 565.78459134
3456 0.70252952 0.15147405 0.59951540 567.89700380
3457 0.69993148 0.13609199 0.57503088 568.01560714
3458 0.70241546 0.12729435 0.59455436 570.94484246
3459 0.70404265 0.15137129 0.57367114 570.62234004
3460 0.69455049 0.13263715 0.56009811 572.26253763
3461 0.69738085 0.17715079 0.56054881 564.34494155
3462 0.70163199 0.20780470 0.56876188 572.02231801
3463 0.69676100 0.18705094 0.55385108 564.48257393
3464 0.69378247 0.19157345 0.53729493 564.84460064
3465 0.69259565 0.20415506 0.54587923 565.25771034
3466 0.69716878 0.21982949 0.57542766 565.33376169
3467 0.69196206 0.24259293 0.57636038 566.07437003
3468 0.69240722 0.25440254 0.59927439 565.71027543
3469 0.69670540 0.22332019 0.59608313 563.73230718
3470 0.69651626 0.19811367 0.57278404 563.85794004
3471 0.69258083 0.19174450 0.56691908 566.20447653
3472 0.69944952 0.19770888 0.57592883 565.71673116
3473 0.69378962 0.21008334 0.54551392 565.22079588
3474 0.69462592 0.19781466 0.54950971 564.50267934
3475 0.69687367 0.20006227 0.55925227 564.84085037
3476 0.69565091 0.17284748 0.57596951 565.32919517
3477 0.69970513 0.16502676 0.55399268 566.07970694
3478 0.69826650 0.15793600 0.53941783 565.53882548
3479 0.70090893 0.15370034 0.53164649 569.08854840
3480 0.69156038 0.15188420 0.53281985 569.94461306
3481 0.69958171 0.14324236 0.54133595 566.62417723
3482 0.69971599 0.13177886 0.55123691 567.44971563
3483 0.69622767 0.16731156 0.54244568 564.63634824
3484 0.69549439 0.17025122 0.53788791 564.63342109
3485 0.69401047 0.17794667 0.54286605 564.86154215
3486 0.69322594 0.18633951 0.53405463 565.05101131
3487 0.69293048 0.17544421 0.53065657 565.48023584
3488 0.69906440 0.15607487 0.53352492 566.50174783
3489 0.69617926 0.17480276 0.57609714 564.77279400
3490 0.69705477 0.17266629 0.55623698 564.42009221
3491 0.70060302 0.17844258 0.59349206 565.14031321
3492 0.70500284 0.18672342 0.65153618 567.79247795
3493 0.70125695 0.22014559 0.67325567 563.52051686
3494 0.70161175 0.24170532 0.68723980 563.00293990
3495 0.69466979 0.21676011 0.64194683 566.64937347
3496 0.70269392 0.18323602 0.61968934 566.14025562
3497 0.69472262 0.18495581 0.61079387 568.04904636
3498 0.69668400 0.20277099 0.64974819 566.71296891
3499 0.69737996 0.22549409 0.66059431 563.85727924
3500 0.69099271 0.24533311 0.63240037 569.06681669
3501 0.69251377 0.22266247 0.63769694 569.39466547
3502 0.70303457 0.23580073 0.62934887 569.70768568
3503 0.69795254 0.27459083 0.62810088 567.50860464
3504 0.69235190 0.28958623 0.64917977 566.43782133
3505 0.69489113 0.30155385 0.65121177 566.61619274
3506 0.69737744 0.25541623 0.65306063 562.83942666
3507 0.69618979 0.24629001 0.66919257 563.73242940
3508 0.69950840 0.22749082 0.68889570 564.05524857
3509 0.70211372 0.22591850 0.65321957 564.46154142
3510 0.69916741 0.23229543 0.63626865 563.19894213
3511 0.69998402 0.24422608 0.65534083 563.26354503
3512 0.70173891 0.20799264 0.64718034 564.17046579
3513 0.69991919 0.23164909 0.60183115 567.15460857
3514 0.70013888 0.20375640 0.60866710 564.32478155
3515 0.69469123 0.25413003 0.65504010 564.13976054
3516 0.69476959 0.24263009 0.64879283 564.36087347
3517 0.69800639 0.24001676 0.63868023 562.89842330
3518 0.69141209 0.26458349 0.62228845 566.79877210
3519 0.69443786 0.27325417 0.60187520 567.35758603
3520 0.69670059 0.24104065 0.63318657 562.96544218
3521 0.70018127 0.24766319 0.64992077 564.04812498
3522 0.70365798 0.19415086 0.63087196 566.81338688
3523 0.69831618 0.20935082 0.64015339 563.58046071
3524 0.69688969 0.24904571 0.64928864 562.80024854
3525 0.69771258 0.24918211 0.64911832 562.78418237
3526 0.69306857 0.25130400 0.63322807 565.23952142
3527 0.70007521 0.24733911 0.68136700 562.50072306
3528 0.70104004 0.26037595 0.70252168 562.53503725
3529 0.69688831 0.28813125 0.68025714 563.51488201
3530 0.70102752 0.26626663 0.68371954 563.75156030
3531 0.70049519 0.26183199 0.71101618 562.34652849
3532 0.70424998 0.22253110 0.70397287 565.08116840
3533 0.70228658 0.25151556 0.71187724 562.95444039
3534 0.70391557 0.26541123 0.71722003 564.45885484
3535 0.70630618 0.24493369 0.74032856 565.85374978
3536 0.70650888 0.25349317 0.75411437 565.68882652
3537 0.69806945 0.25832971 0.73194959 565.70158039
3538 0.69970553 0.29570708 0.70227060 563.96205206
3539 0.70217587 0.30665851 0.72829964 565.45987616
3540 0.69633497 0.31608318 0.72908627 563.96897098
3541 0.69896289 0.30919972 0.71978126 563.61214749
3542 0.69536204 0.32267670 0.71958777 564.91731840
3543 0.69538828 0.30621012 0.72784014 564.73598932
3544 0.69722276 0.30199971 0.71421479 563.19249664
3545 0.70156966 0.29752648 0.75195712 562.48206144
3546 0.70417288 0.28907393 0.73953415 564.95623649
3547 0.70083150 0.28418656 0.73739240 562.25549349
3548 0.69688499 0.29753465 0.75837031 565.44407643
3549 0.70335552 0.33136433 0.77847954 565.14797145
3550 0.69542770 0.36031966 0.77771102 566.61247987
3551 0.70277221 0.34781797 0.79152361 565.46268739
3552 0.69698898 0.35436125 0.78014837 565.09532816
3553 0.69798305 0.36983763 0.81982065 565.35553358
3554 0.69676228 0.37447214 0.80436271 566.34063299
3555 0.69817738 0.39036964 0.84012799 566.38713784
3556 0.69845808 0.38649573 0.86062113 566.61455649
3557 0.70283178 0.38298317 0.88114931 564.59019501
3558 0.70745016 0.37327912 0.90197814 565.83226843
3559 0.70768569 0.38666041 0.90758864 566.94609523
3560 0.70435402 0.40175567 0.89991719 565.95597392
3561 0.70381972 0.41923827 0.94114845 566.72419180
3562 0.70639227 0.42261029 0.91730043 569.63306975
3563 0.69904163 0.43066225 0.92882712 570.11750984
3564 0.69999572 0.43970935 0.91267728 569.11345081
3565 0.70108335 0.41275497 0.90685981 566.70536245
3566 0.70117674 0.38929477 0.90252359 566.37306640
3567 0.69955495 0.41521418 0.88377059 567.35002459
3568 0.70498588 0.43112483 0.88602840 573.28788194
3569 0.70445747 0.43102251 0.91316650 569.19583504
3570 0.70077664 0.45463440 0.96071898 570.48800999
3571 0.70622145 0.42549707 0.96595430 567.43634592
3572 0.70300924 0.40677163 0.96607811 569.67474585
3573 0.70898006 0.41268550 0.97633478 568.10953090
3574 0.70221909 0.42132649 0.97497817 570.66062325
3575 0.71078102 0.41725083 0.94224467 573.70749065
3576 0.70225731 0.45514108 0.91571989 571.55096035
3577 0.69976348 0.44287580 0.89792885 569.89369299
3578 0.69794197 0.42735425 0.91783874 570.93631548
3579 0.70345191 0.41705867 0.92960949 566.50186434
3580 0.70013046 0.36962026 0.90953713 570.83276067
3581 0.70248104 0.37291088 0.92073249 568.03104867
3582 0.70224266 0.40918357 0.92352499 566.52157045
3583 0.70685413 0.41922842 0.94452647 567.68333371
3584 0.70669719 0.43280735 0.96515520 568.23836927
3585 0.70407328 0.42866698 0.96092609 567.53843885
3586 0.70676855 0.42664396 0.96785671 567.70256470
3587 0.71150400 0.41582483 0.95177614 573.81636508
3588 0.70682962 0.40659957 0.95689946 566.70187081
3589 0.70563884 0.39550550 0.95303098 566.73166448
3590 0.70197149 0.41064678 0.92928750 567.02375580
3591 0.70209899 0.41585822 0.95127289 568.47760082
3592 0.70249793 0.39210834 0.96767078 572.88465688
3593 0.70496452 0.39308948 0.96371254 568.41741173
3594 0.71079540 0.37596037 0.94637101 568.49469879
3595 0.70867997 0.36913941 0.91465398 566.47645903
3596 0.70592834 0.36081107 0.88630043 564.52295846
3597 0.70539008 0.35499707 0.87793422 564.19292172
3598 0.70264435 0.35085521 0.88796134 566.24893243
3599 0.70301460 0.35097073 0.89357744 566.50072624
3600 0.71024946 0.36950701 0.92804898 567.91963960
3601 0.69819999 0.40810717 0.90279593 569.67428316
3602 0.70517407 0.40174840 0.92569007 565.79402781
3603 0.70364139 0.42867049 0.93111894 567.38739725
3604 0.70700948 0.40267897 0.93740904 566.56332141
3605 0.70277571 0.40516605 0.93600581 566.91252711
3606 0.70441571 0.39992035 0.90439197 565.67989125
3607 0.70051287 0.42013407 0.90538215 567.34559369
3608 0.70341236 0.40924370 0.92408804 566.07028856
3609 0.70552693 0.41525579 0.93751232 566.68034809
3610 0.70852402 0.35030705 0.91000045 566.21929322
3611 0.70437782 0.34289281 0.90066986 567.03291164
3612 0.70901289 0.31861104 0.87785359 566.74174235
3613 0.70523867 0.32013418 0.87488367 566.31818060
