# step h OmegaM OmegaL chi2
123 0.70345955 0.16167374 0.64712874 569.20297970
124 0.70092806 0.16111309 0.67473114 575.09607067
125 0.70463852 0.16246155 0.68763086 573.58604764
126 0.70869464 0.16696819 0.64196777 575.16703600
127 0.70246675 0.14077893 0.62765212 571.49739875
128 0.70184382 0.14396311 0.63306681 571.71798551
129 0.69701991 0.13990560 0.59619559 572.23690975
130 0.70379529 0.15939377 0.58217520 569.68247451
131 0.70010578 0.14384413 0.54497855 566.92164087
132 0.70877310 0.13161517 0.59290202 579.32630070
133 0.69770882 0.16505649 0.59094762 565.79814248
134 0.69923922 0.19575324 0.62070004 563.77203593
135 0.69751576 0.22015608 0.61572162 563.07372780
136 0.69752377 0.21154216 0.58418060 564.20881285
137 0.69505281 0.21332639 0.61766772 564.47464680
138 0.69921949 0.22331151 0.64492752 562.87836805
139 0.69971256 0.25704793 0.68197735 562.48963931
140 0.69807628 0.26337630 0.68397968 562.43956562
141 0.69966034 0.26480096 0.68311849 562.70315492
142 0.69944126 0.25238483 0.68804163 562.37676926
143 0.69866583 0.24064252 0.69526859 563.69918358
144 0.70152809 0.23749707 0.66908001 563.46113921
145 0.70002354 0.22550973 0.66804737 563.02800124
146 0.70672099 0.21709617 0.70797567 567.69086050
147 0.69568227 0.24501730 0.69418501 566.89030831
148 0.70272693 0.24470984 0.71881765 563.39808589
149 0.70470318 0.24299187 0.73127732 564.56530319
150 0.70695382 0.26836256 0.74029829 567.56346770
151 0.70529363 0.25430947 0.71028020 566.23798047
152 0.69915654 0.25234736 0.70878948 563.15383198
153 0.70076471 0.24462902 0.70180401 562.80335246
154 0.69704158 0.24565165 0.68263593 563.77903441
155 0.70313704 0.21489185 0.65534864 565.16434819
156 0.69925706 0.20937464 0.64530988 563.49251207
157 0.69653032 0.19509548 0.62214058 565.21686248
158 0.69575685 0.19560224 0.60824638 564.86786976
159 0.69572087 0.19944014 0.63960240 567.49100281
160 0.70292863 0.17718635 0.63039022 566.44632154
161 0.70127667 0.20619506 0.61010775 565.57797671
162 0.69710197 0.19839198 0.62682130 564.64633681
163 0.69402802 0.22516391 0.60666462 564.29562918
164 0.69072796 0.25069383 0.57334963 567.42442570
165 0.69232693 0.24831885 0.59389730 565.62936144
166 0.69793557 0.23820670 0.59413817 566.27116197
167 0.69657098 0.23159040 0.58033085 565.59421513
168 0.69317304 0.21312718 0.58010671 564.83080897
169 0.69327719 0.22426994 0.57461874 564.75121155
170 0.69746942 0.21360979 0.59808332 563.50947001
171 0.69916226 0.19180024 0.59355711 564.10389136
172 0.70298931 0.18112551 0.60370888 567.32858500
173 0.70048798 0.17204144 0.62025544 565.81830399
174 0.69808307 0.17564259 0.61163393 565.66699281
175 0.69913625 0.17480442 0.60455854 564.92320172
176 0.70110147 0.21257391 0.60824863 565.99074667
177 0.69771317 0.23980569 0.60781294 564.74567641
178 0.69334041 0.22509742 0.57519690 564.73332987
179 0.69416815 0.21056916 0.58716235 564.25160050
180 0.69726405 0.22042910 0.57917063 565.11633753
181 0.69951029 0.21119894 0.60768921 564.12852614
182 0.69921864 0.19290850 0.63029469 564.28030122
183 0.69680513 0.18997881 0.61115532 564.76092619
184 0.69022850 0.22834416 0.60150950 569.47032047
185 0.69070292 0.23390742 0.57785550 567.02141605
186 0.68880531 0.23376989 0.57424193 569.92581479
187 0.69786729 0.24631121 0.58324495 569.06258924
188 0.70279195 0.21924563 0.60979018 569.66566473
189 0.70033136 0.19462501 0.59517074 565.00568928
190 0.69352776 0.19580632 0.58333673 565.65620955
191 0.70234976 0.18070739 0.60500839 566.38466497
192 0.70124415 0.19137608 0.61026482 565.01722630
193 0.70336066 0.17838486 0.62463715 566.82746688
194 0.70242276 0.18017709 0.61958380 565.96252856
195 0.69495573 0.18168166 0.62546510 570.47954545
196 0.69340262 0.18121425 0.59966397 569.69470460
197 0.70226931 0.18558939 0.59908712 566.76755249
198 0.70157687 0.17969140 0.61711967 565.38201121
199 0.70354702 0.20166832 0.64035830 566.24083707
200 0.69896152 0.22611968 0.65380093 562.81909313
201 0.69950434 0.21745978 0.66581780 563.62855040
202 0.69827665 0.23234530 0.67309109 563.33243583
203 0.70095553 0.23550395 0.66143120 563.30405416
204 0.69964323 0.22925742 0.67938357 563.23263202
205 0.70277996 0.23297429 0.68938565 563.74203258
206 0.70158820 0.24307246 0.70512971 562.98366260
207 0.70732977 0.27343621 0.72354112 571.15492431
208 0.69962074 0.26819880 0.72469280 562.61961625
209 0.70077789 0.25739149 0.69811305 562.49056962
210 0.69627217 0.24371411 0.66906699 563.83333689
211 0.70098700 0.25573164 0.71125840 562.52641220
212 0.70021618 0.25786266 0.69963388 562.35020911
213 0.69641424 0.26880967 0.67416466 562.99761085
214 0.70178949 0.27063445 0.71211920 562.93369110
215 0.69463689 0.28603132 0.67372713 564.30187777
216 0.69697236 0.28087040 0.66600007 563.71651871
217 0.69836535 0.26896293 0.67403856 562.83596012
218 0.69930418 0.26476955 0.65880359 564.05991679
219 0.70051218 0.25725515 0.64627180 565.88525517
220 0.69523864 0.26755014 0.63253521 564.33774293
221 0.69367352 0.25193333 0.59715490 565.16907174
222 0.69545317 0.24915800 0.60663114 564.47120576
223 0.69631397 0.21801930 0.58302872 564.04501313
